Censys_missed_chi2,Censys_missed_lsvc,Censys_missed_rf,Censys_delay_chi2,Censys_delay_lsvc,Censys_delay_rf,Entrust_missed_chi2,Entrust_missed_lsvc,Entrust_missed_rf,Entrust_delay_chi2,Entrust_delay_lsvc,Entrust_delay_rf,Facebook_missed_chi2,Facebook_missed_lsvc,Facebook_missed_rf,Facebook_delay_chi2,Facebook_delay_lsvc,Facebook_delay_rf,Google_missed_chi2,Google_missed_lsvc,Google_missed_rf,Google_delay_chi2,Google_delay_lsvc,Google_delay_rf,SSLMate_missed_chi2,SSLMate_missed_lsvc,SSLMate_missed_rf,SSLMate_delay_chi2,SSLMate_delay_lsvc,SSLMate_delay_rf
Censys10: [MinReferenceSetSize (9.77e+02)],Censys10: [Issuer: ApplicationCA2 Sub (2.83e-08)],Censys10: [AvgStart2LoggedSub (7.70e+02)],Censys10: [AvgStartSize (4.41e+03)],Censys10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (2.35e-04)],Censys10: [AvgGrowth (7.71e+02)],Entrust10: [Logged format: Pre (6.17e+03)],Entrust10: [Issuer: Apple Server Authentication CA 2 (2.69e-03)],Entrust10: [# of matched targets in cert (7.70e+02)],Entrust10: [LoggedSub2Expire (8.48e+03)],Entrust10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (2.12e-03)],Entrust10: [MinEndSize (7.71e+02)],Facebook10: [Logged format: Pre (1.40e+02)],Facebook10: [Issuer: Apple Public Server ECC CA 12 - G1 (1.11e-09)],Facebook10: [MinStart2LoggedSub (7.70e+02)],Facebook10: [AvgGrowth (7.51e+02)],Facebook10: [Issuer: Apple Public Server ECC CA 12 - G1 (1.53e-02)],Facebook10: [AvgReferenceSetSize (7.70e+02)],Google10: [MinReferenceSetSize (5.77e+03)],Google10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (1.33e-05)],Google10: [AvgStart2LoggedSub (7.71e+02)],Google10: [MinStartSize (6.10e+03)],Google10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (4.37e-02)],Google10: [max string length of domains (7.71e+02)],SSLMate10: [MaxLoggedSub2Expire (1.11e+04)],SSLMate10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (8.05e-09)],SSLMate10: [Suffix: com (7.71e+02)],SSLMate10: [MaxLoggedSub2Expire (1.11e+04)],SSLMate10: [Issuer: Autoridade Certificadora do SERPRORFB SSL (4.78e-02)],SSLMate10: [MaxLoggedSub2Expire (7.71e+02)]
Censys11: [AvgReferenceSetSize (9.24e+02)],Censys11: [Issuer: Apple Server Authentication CA 2 (1.60e-08)],Censys11: [AvgGrowth (7.69e+02)],Censys11: [Logged format: Both (4.17e+03)],Censys11: [Issuer: ApplicationCA2 Sub (9.83e-06)],Censys11: [MinLoggedSub2Expire (7.70e+02)],Entrust11: [Logged format: Both (6.15e+03)],Entrust11: [Issuer: Apple Server Authentication CA (2.51e-03)],Entrust11: [AvgEndSize (7.69e+02)],Entrust11: [MinEndSize (7.01e+03)],Entrust11: [Issuer: ApplicationCA2 Sub (1.65e-03)],Entrust11: [AvgFacebookPages (7.70e+02)],Facebook11: [Suffix: pl (1.35e+02)],Facebook11: [Issuer: Apple IST CA 8 - G1 (5.75e-10)],Facebook11: [AvgStart2LoggedSub (7.69e+02)],Facebook11: [Suffix: comhk (6.97e+02)],Facebook11: [Issuer: Apple IST CA 8 - G1 (1.41e-02)],Facebook11: [MinReferenceSetSize (7.69e+02)],Google11: [MaxEndSize (5.15e+03)],Google11: [Issuer: ApplicationCA2 Sub (4.37e-06)],Google11: [min string length of domains (7.70e+02)],Google11: [MinReferenceSetSize (5.87e+03)],Google11: [Issuer: ApplicationCA2 Sub (3.47e-02)],Google11: [max string length of targets (7.70e+02)],SSLMate11: [Suffix: gov (9.72e+03)],SSLMate11: [Issuer: ApplicationCA2 Sub (7.27e-09)],SSLMate11: [MinLoggedSub2Expire (7.70e+02)],SSLMate11: [AvgGrowth (1.04e+04)],SSLMate11: [Issuer: ApplicationCA2 Sub (2.42e-02)],SSLMate11: [AvgLoggedSub2Expire (7.70e+02)]
Censys12: [MaxReferenceSetSize (8.78e+02)],Censys12: [Issuer: Apple Server Authentication CA (1.35e-08)],Censys12: [# of certs of the website (7.68e+02)],Censys12: [Suffix: couk (3.53e+03)],Censys12: [Issuer: Apple Server Authentication CA 2 (4.54e-06)],Censys12: [MaxGrowth (7.69e+02)],Entrust12: [LoggedSub2Expire (5.64e+03)],Entrust12: [Issuer: Apple Public Server RSA CA 12 - G1 (2.43e-03)],Entrust12: [MaxLoggedSub2Expire (7.68e+02)],Entrust12: [Lifetime of the cert (6.90e+03)],Entrust12: [Issuer: Apple Server Authentication CA 2 (1.58e-03)],Entrust12: [MaxReferenceSetSize (7.69e+02)],Facebook12: [Logged format: Both (8.91e+01)],Facebook12: [Issuer: Apple IST CA 2 - G1 (4.43e-10)],Facebook12: [MaxFacebookPages (7.68e+02)],Facebook12: [LoggedSub2Expire (6.74e+02)],Facebook12: [Issuer: Apple IST CA 2 - G1 (7.68e-03)],Facebook12: [Start2LoggedSub (7.68e+02)],Google12: [MaxGrowth (3.81e+03)],Google12: [Issuer: Apple Server Authentication CA 2 (4.61e-07)],Google12: [# of loggers (7.69e+02)],Google12: [MaxGrowth (4.55e+03)],Google12: [Issuer: Apple Server Authentication CA 2 (2.28e-02)],Google12: [MinLoggedSub2Expire (7.69e+02)],SSLMate12: [AvgGrowth (8.71e+03)],SSLMate12: [Issuer: Apple Server Authentication CA 2 (4.49e-09)],SSLMate12: [AvgGrowth (7.69e+02)],SSLMate12: [Suffix: gov (1.03e+04)],SSLMate12: [Issuer: Apple Server Authentication CA 2 (1.50e-02)],SSLMate12: [MinLoggedSub2Expire (7.69e+02)]
Censys13: [# of certs of the website (8.52e+02)],Censys13: [Issuer: Apple Public Server RSA CA 12 - G1 (1.28e-08)],Censys13: [Lifetime of the cert (7.67e+02)],Censys13: [MaxEndSize (3.29e+03)],Censys13: [Issuer: Apple Server Authentication CA (7.20e-07)],Censys13: [Lifetime of the cert (7.68e+02)],Entrust13: [Suffix: onca (5.45e+03)],Entrust13: [Issuer: Apple Public Server ECC CA 12 - G1 (7.54e-04)],Entrust13: [Start2LoggedSub (7.07e+02)],Entrust13: [Logged format: Pre (6.83e+03)],Entrust13: [Issuer: Apple Server Authentication CA (1.21e-03)],Entrust13: [Start2LoggedSub (7.68e+02)],Facebook13: [min string length of domains (3.73e+01)],Facebook13: [Issuer: Apple HomeKit Server CA (2.97e-10)],Facebook13: [mean string length of domains (7.67e+02)],Facebook13: [Lifetime of the cert (5.54e+02)],Facebook13: [Issuer: Apple HomeKit Server CA (3.62e-03)],Facebook13: [AvgStartSize (7.67e+02)],Google13: [# of loggers (2.79e+03)],Google13: [Issuer: Apple Server Authentication CA (1.65e-08)],Google13: [min string length of targets (7.68e+02)],Google13: [LoggedSub2Expire (4.33e+03)],Google13: [Issuer: Apple Server Authentication CA (1.09e-02)],Google13: [AvgLoggedSub2Expire (7.68e+02)],SSLMate13: [MaxGrowth (7.85e+03)],SSLMate13: [Issuer: Apple Server Authentication CA (2.84e-09)],SSLMate13: [# of SHA256 (7.68e+02)],SSLMate13: [Logged format: Final (9.41e+03)],SSLMate13: [Issuer: Apple Server Authentication CA (1.45e-02)],SSLMate13: [Suffix: com (7.68e+02)]
Censys14: [Logged format: Both (7.60e+02)],Censys14: [Issuer: Apple Public Server ECC CA 12 - G1 (8.22e-10)],Censys14: [Logged format: Pre (7.07e+02)],Censys14: [AvgStart2LoggedSub (3.23e+03)],Censys14: [Issuer: Apple Public Server RSA CA 12 - G1 (4.87e-07)],Censys14: [MinGrowth (7.67e+02)],Entrust14: [# of loggers (5.41e+03)],Entrust14: [Issuer: Apple IST CA 8 - G1 (7.24e-04)],Entrust14: [# of loggers (7.06e+02)],Entrust14: [Logged format: Both (6.73e+03)],Entrust14: [Issuer: Apple Public Server RSA CA 12 - G1 (8.39e-04)],Entrust14: [Start hour (7.67e+02)],Facebook14: [Suffix: ro (2.92e+01)],Facebook14: [Issuer: Amazon (1.17e-11)],Facebook14: [min string length of domains (7.07e+02)],Facebook14: [MaxStartSize (5.48e+02)],Facebook14: [Issuer: Amazon (1.93e-03)],Facebook14: [Start hour (7.07e+02)],Google14: [# of SHA256 (2.67e+03)],Google14: [Issuer: Apple Public Server RSA CA 12 - G1 (8.52e-09)],Google14: [AvgLoggedSub2Expire (7.67e+02)],Google14: [Lifetime of the cert (3.58e+03)],Google14: [Issuer: Apple Public Server RSA CA 12 - G1 (9.09e-03)],Google14: [AvgStartSize (7.67e+02)],SSLMate14: [Logged format: Final (7.80e+03)],SSLMate14: [Issuer: Apple Public Server RSA CA 12 - G1 (2.28e-09)],SSLMate14: [mean string length of targets (7.67e+02)],SSLMate14: [MaxGrowth (8.84e+03)],SSLMate14: [Issuer: Apple Public Server RSA CA 12 - G1 (1.37e-02)],SSLMate14: [MaxFacebookPages (7.67e+02)]
Censys15: [min string length of domains (5.95e+02)],Censys15: [Issuer: Apple IST CA 8 - G1 (4.58e-10)],Censys15: [AvgLoggedSub2Expire (7.06e+02)],Censys15: [AvgGrowth (2.98e+03)],Censys15: [Issuer: Apple Public Server ECC CA 12 - G1 (2.13e-07)],Censys15: [End hour (7.07e+02)],Entrust15: [MinStartSize (5.17e+03)],Entrust15: [Issuer: Apple IST CA 2 - G1 (1.09e-04)],Entrust15: [MinLoggedSub2Expire (7.05e+02)],Entrust15: [# of loggers (5.56e+03)],Entrust15: [Issuer: Apple Public Server ECC CA 12 - G1 (6.54e-04)],Entrust15: [MinStartSize (7.07e+02)],Facebook15: [Suffix: at (2.89e+01)],Facebook15: [Issuer: AlphaSSL CA - SHA256 - G2 (0.00e+00)],Facebook15: [MinFacebookPages (7.06e+02)],Facebook15: [MaxStart2LoggedSub (4.99e+02)],Facebook15: [Issuer: AlphaSSL CA - SHA256 - G2 (1.19e-03)],Facebook15: [End hour (7.06e+02)],Google15: [LoggedSub2Expire (2.11e+03)],Google15: [Issuer: Apple Public Server ECC CA 12 - G1 (1.70e-09)],Google15: [MaxStartSize (7.07e+02)],Google15: [# of loggers (2.79e+03)],Google15: [Issuer: Apple Public Server ECC CA 12 - G1 (5.90e-03)],Google15: [min string length of domains (7.07e+02)],SSLMate15: [Suffix: onca (6.79e+03)],SSLMate15: [Issuer: Apple Public Server ECC CA 12 - G1 (2.20e-09)],SSLMate15: [AvgLoggedSub2Expire (7.07e+02)],SSLMate15: [Suffix: onca (8.26e+03)],SSLMate15: [Issuer: Apple Public Server ECC CA 12 - G1 (7.36e-03)],SSLMate15: [# of SHA256 (7.07e+02)]
Censys16: [Suffix: ir (5.71e+02)],Censys16: [Issuer: Apple IST CA 2 - G1 (2.41e-10)],Censys16: [Logged format: Both (7.05e+02)],Censys16: [AvgEndSize (2.87e+03)],Censys16: [Issuer: Apple IST CA 8 - G1 (4.97e-09)],Censys16: [MinReferenceSetSize (7.06e+02)],Entrust16: [Lifetime of the cert (4.59e+03)],Entrust16: [Issuer: Apple HomeKit Server CA (3.06e-05)],Entrust16: [MinReferenceSetSize (7.04e+02)],Entrust16: [MinStartSize (5.26e+03)],Entrust16: [Issuer: Apple IST CA 8 - G1 (4.75e-04)],Entrust16: [AvgGrowth (7.06e+02)],Facebook16: [# of domains in cert (2.74e+01)],Facebook16: [Issuer: AffirmTrust Certificate Authority - DV1 (0.00e+00)],Facebook16: [AvgFacebookPages (7.05e+02)],Facebook16: [Logged format: Pre (4.58e+02)],Facebook16: [Issuer: AffirmTrust Certificate Authority - DV1 (8.29e-04)],Facebook16: [mean string length of domains (7.05e+02)],Google16: [Lifetime of the cert (1.74e+03)],Google16: [Issuer: Apple IST CA 8 - G1 (7.55e-10)],Google16: [MinStartSize (7.06e+02)],Google16: [# of SHA256 (2.77e+03)],Google16: [Issuer: Apple IST CA 8 - G1 (4.60e-03)],Google16: [# of certs of the website (7.06e+02)],SSLMate16: [MinEndSize (6.31e+03)],SSLMate16: [Issuer: Apple IST CA 8 - G1 (1.65e-09)],SSLMate16: [# of domains in cert (7.06e+02)],SSLMate16: [MaxStartSize (7.30e+03)],SSLMate16: [Issuer: Apple IST CA 8 - G1 (5.32e-03)],SSLMate16: [# of domains in cert (7.06e+02)]
Censys17: [Logged format: Pre (5.50e+02)],Censys17: [Issuer: Apple HomeKit Server CA (0.00e+00)],Censys17: [MaxLoggedSub2Expire (7.04e+02)],Censys17: [Suffix: acid (2.43e+03)],Censys17: [Issuer: Apple IST CA 2 - G1 (4.76e-09)],Censys17: [MaxStartSize (7.05e+02)],Entrust17: [MaxGrowth (3.41e+03)],Entrust17: [Issuer: Amazon (1.96e-05)],Entrust17: [End hour (7.03e+02)],Entrust17: [Logged format: Final (5.10e+03)],Entrust17: [Issuer: Apple IST CA 2 - G1 (3.77e-04)],Entrust17: [MinGrowth (7.05e+02)],Facebook17: [MinStartSize (2.51e+01)],Facebook17: [Issuer: Actalis Organization Validated Server CA G2 (0.00e+00)],Facebook17: [max string length of targets (7.04e+02)],Facebook17: [Logged format: Both (4.44e+02)],Facebook17: [Issuer: Actalis Organization Validated Server CA G2 (4.64e-04)],Facebook17: [min string length of targets (7.04e+02)],Google17: [End hour (1.69e+03)],Google17: [Issuer: Apple IST CA 2 - G1 (0.00e+00)],Google17: [MaxStart2LoggedSub (7.05e+02)],Google17: [MaxStart2LoggedSub (2.66e+03)],Google17: [Issuer: Apple IST CA 2 - G1 (4.07e-03)],Google17: [MaxReferenceSetSize (7.05e+02)],SSLMate17: [AvgLoggedSub2Expire (6.29e+03)],SSLMate17: [Issuer: Apple IST CA 2 - G1 (1.60e-09)],SSLMate17: [MaxGrowth (7.05e+02)],SSLMate17: [MinEndSize (6.90e+03)],SSLMate17: [Issuer: Apple IST CA 2 - G1 (4.52e-03)],SSLMate17: [End hour (7.05e+02)]
Censys18: [Suffix: de (4.84e+02)],Censys18: [Issuer: Amazon (0.00e+00)],Censys18: [End hour (7.03e+02)],Censys18: [Suffix: me (2.39e+03)],Censys18: [Issuer: Apple HomeKit Server CA (3.22e-09)],Censys18: [Start hour (7.04e+02)],Entrust18: [Logged format: Final (2.80e+03)],Entrust18: [Issuer: AlphaSSL CA - SHA256 - G2 (1.05e-05)],Entrust18: [AvgStartSize (7.02e+02)],Entrust18: [MaxStart2LoggedSub (4.79e+03)],Entrust18: [Issuer: Apple HomeKit Server CA (1.31e-04)],Entrust18: [max string length of domains (7.04e+02)],Facebook18: [MinEndSize (2.48e+01)],Facebook18: [Issuer: Actalis Organization Validated Server CA G1 (0.00e+00)],Facebook18: [AvgReferenceSetSize (7.03e+02)],Facebook18: [MaxEndSize (4.14e+02)],Facebook18: [Issuer: Actalis Organization Validated Server CA G1 (2.15e-04)],Facebook18: [max string length of targets (7.03e+02)],Google18: [MaxLoggedSub2Expire (1.62e+03)],Google18: [Issuer: Apple HomeKit Server CA (0.00e+00)],Google18: [Lifetime of the cert (7.04e+02)],Google18: [AvgStartSize (2.31e+03)],Google18: [Issuer: Apple HomeKit Server CA (3.08e-03)],Google18: [# of domains in cert (7.04e+02)],SSLMate18: [MaxStartSize (5.32e+03)],SSLMate18: [Issuer: Apple HomeKit Server CA (5.35e-10)],SSLMate18: [MinStart2LoggedSub (7.04e+02)],SSLMate18: [AvgLoggedSub2Expire (6.30e+03)],SSLMate18: [Issuer: Apple HomeKit Server CA (3.75e-03)],SSLMate18: [Start hour (7.04e+02)]
Censys19: [End hour (3.18e+02)],Censys19: [Issuer: AlphaSSL CA - SHA256 - G2 (0.00e+00)],Censys19: [mean string length of targets (7.02e+02)],Censys19: [MaxFacebookPages (2.38e+03)],Censys19: [Issuer: Amazon (3.21e-09)],Censys19: [# of certs of the website (7.03e+02)],Entrust19: [AvgStartSize (2.67e+03)],Entrust19: [Issuer: AffirmTrust Certificate Authority - DV1 (1.95e-07)],Entrust19: [MaxReferenceSetSize (7.01e+02)],Entrust19: [MaxGrowth (3.68e+03)],Entrust19: [Issuer: Amazon (4.37e-05)],Entrust19: [Lifetime of the cert (7.03e+02)],Facebook19: [min string length of targets (2.41e+01)],Facebook19: [Issuer: Actalis Authentication CA G3 (0.00e+00)],Facebook19: [min string length of targets (7.02e+02)],Facebook19: [Logged format: Final (4.05e+02)],Facebook19: [Issuer: Actalis Authentication CA G3 (2.69e-07)],Facebook19: [mean string length of targets (7.02e+02)],Google19: [Suffix: edu (1.60e+03)],Google19: [Issuer: Amazon (0.00e+00)],Google19: [# of matched targets in cert (7.03e+02)],Google19: [Logged format: Final (2.05e+03)],Google19: [Issuer: Amazon (2.78e-03)],Google19: [MaxFacebookPages (7.03e+02)],SSLMate19: [Suffix: net (5.31e+03)],SSLMate19: [Issuer: Amazon (0.00e+00)],SSLMate19: [MaxLoggedSub2Expire (7.03e+02)],SSLMate19: [LoggedSub2Expire (5.64e+03)],SSLMate19: [Issuer: Amazon (3.38e-03)],SSLMate19: [MaxGrowth (7.03e+02)]
Censys20: [MaxLoggedSub2Expire (2.55e+02)],Censys20: [Issuer: AffirmTrust Certificate Authority - DV1 (0.00e+00)],Censys20: [Start hour (7.01e+02)],Censys20: [# of certs of the website (2.19e+03)],Censys20: [Issuer: AlphaSSL CA - SHA256 - G2 (2.98e-09)],Censys20: [max string length of domains (7.02e+02)],Entrust20: [End hour (2.62e+03)],Entrust20: [Issuer: Actalis Organization Validated Server CA G2 (3.34e-08)],Entrust20: [Start hour (7.00e+02)],Entrust20: [Suffix: com (3.60e+03)],Entrust20: [Issuer: AlphaSSL CA - SHA256 - G2 (2.29e-07)],Entrust20: [End hour (7.02e+02)],Facebook20: [Suffix: educn (2.35e+01)],Facebook20: [Issuer: ACCVCA-120 (0.00e+00)],Facebook20: [max string length of domains (7.01e+02)],Facebook20: [MinEndSize (3.50e+02)],Facebook20: [Issuer: ACCVCA-120 (1.12e-07)],Facebook20: [AvgGrowth (7.01e+02)],Google20: [AvgReferenceSetSize (1.17e+03)],Google20: [Issuer: AlphaSSL CA - SHA256 - G2 (0.00e+00)],Google20: [MinGrowth (7.02e+02)],Google20: [Suffix: edu (1.88e+03)],Google20: [Issuer: AlphaSSL CA - SHA256 - G2 (1.74e-03)],Google20: [MinReferenceSetSize (7.02e+02)],SSLMate20: [MinStartSize (4.99e+03)],SSLMate20: [Issuer: AlphaSSL CA - SHA256 - G2 (0.00e+00)],SSLMate20: [End hour (7.02e+02)],SSLMate20: [MaxEndSize (5.45e+03)],SSLMate20: [Issuer: AlphaSSL CA - SHA256 - G2 (2.69e-03)],SSLMate20: [min string length of targets (7.02e+02)]
Censys21: [AvgLoggedSub2Expire (1.67e+02)],Censys21: [Issuer: Actalis Organization Validated Server CA G2 (0.00e+00)],Censys21: [MinStartSize (7.00e+02)],Censys21: [Suffix: comau (2.01e+03)],Censys21: [Issuer: AffirmTrust Certificate Authority - DV1 (1.66e-09)],Censys21: [AvgReferenceSetSize (7.01e+02)],Entrust21: [MaxStart2LoggedSub (2.41e+03)],Entrust21: [Issuer: Actalis Organization Validated Server CA G1 (2.66e-08)],Entrust21: [mean string length of targets (6.99e+02)],Entrust21: [End hour (3.48e+03)],Entrust21: [Issuer: AffirmTrust Certificate Authority - DV1 (7.48e-08)],Entrust21: [MinReferenceSetSize (7.01e+02)],Facebook21: [# of Domain Over Target (2.33e+01)],Facebook21: [Issuer: AC INFRASTRUCTURE 2 (0.00e+00)],Facebook21: [End hour (7.00e+02)],Facebook21: [Suffix: ao (3.39e+02)],Facebook21: [Issuer: AC INFRASTRUCTURE 2 (3.17e-08)],Facebook21: [min string length of domains (7.00e+02)],Google21: [AvgLoggedSub2Expire (1.12e+03)],Google21: [Issuer: AffirmTrust Certificate Authority - DV1 (0.00e+00)],Google21: [MinReferenceSetSize (7.01e+02)],Google21: [End hour (1.80e+03)],Google21: [Issuer: AffirmTrust Certificate Authority - DV1 (1.33e-03)],Google21: [min string length of targets (7.01e+02)],SSLMate21: [Suffix: ca (4.88e+03)],SSLMate21: [Issuer: AffirmTrust Certificate Authority - DV1 (0.00e+00)],SSLMate21: [Logged format: Both (7.01e+02)],SSLMate21: [Suffix: net (5.28e+03)],SSLMate21: [Issuer: AffirmTrust Certificate Authority - DV1 (1.50e-03)],SSLMate21: [AvgStartSize (7.01e+02)]
Censys22: [min string length of targets (1.23e+02)],Censys22: [Suffix: no (0.00e+00)],Censys22: [MinStart2LoggedSub (6.99e+02)],Censys22: [MaxReferenceSetSize (1.82e+03)],Censys22: [Issuer: Actalis Organization Validated Server CA G2 (1.17e-09)],Censys22: [min string length of targets (7.00e+02)],Entrust22: [Suffix: edu (1.50e+03)],Entrust22: [Issuer: Actalis Authentication CA G3 (2.71e-09)],Entrust22: [mean string length of domains (6.98e+02)],Entrust22: [AvgStartSize (3.19e+03)],Entrust22: [Issuer: Actalis Organization Validated Server CA G2 (2.32e-08)],Entrust22: [MaxStartSize (7.00e+02)],Facebook22: [Suffix: org (2.09e+01)],Facebook22: [Issuer: AC Certisign Multipla G6 (0.00e+00)],Facebook22: [Lifetime of the cert (6.99e+02)],Facebook22: [End hour (2.44e+02)],Facebook22: [Issuer: AC Certisign Multipla G6 (6.88e-09)],Facebook22: [MinEndSize (6.99e+02)],Google22: [AvgStartSize (1.03e+03)],Google22: [Issuer: Actalis Organization Validated Server CA G2 (0.00e+00)],Google22: [MinLoggedSub2Expire (7.00e+02)],Google22: [MaxLoggedSub2Expire (1.71e+03)],Google22: [Issuer: Actalis Organization Validated Server CA G2 (8.01e-04)],Google22: [AvgGrowth (7.00e+02)],SSLMate22: [mean string length of domains (4.60e+03)],SSLMate22: [Issuer: Actalis Organization Validated Server CA G2 (0.00e+00)],SSLMate22: [MinEndSize (7.00e+02)],SSLMate22: [MinStartSize (5.24e+03)],SSLMate22: [Issuer: Actalis Organization Validated Server CA G2 (7.25e-04)],SSLMate22: [max string length of targets (7.00e+02)]
Censys23: [MinGrowth (1.22e+02)],Censys23: [Suffix: nu (0.00e+00)],Censys23: [min string length of targets (6.98e+02)],Censys23: [Logged format: Pre (1.79e+03)],Censys23: [Issuer: Actalis Organization Validated Server CA G1 (1.04e-09)],Censys23: [# of domains in cert (6.99e+02)],Entrust23: [MaxLoggedSub2Expire (1.32e+03)],Entrust23: [Issuer: ACCVCA-120 (2.61e-09)],Entrust23: [AvgReferenceSetSize (6.97e+02)],Entrust23: [AvgStart2LoggedSub (2.29e+03)],Entrust23: [Issuer: Actalis Organization Validated Server CA G1 (6.99e-09)],Entrust23: [mean string length of domains (6.99e+02)],Facebook23: [Suffix: onca (1.95e+01)],Facebook23: [Issuer: AC CAMERFIRMA FOR WEBSITES - 2016 (0.00e+00)],Facebook23: [AvgGrowth (6.98e+02)],Facebook23: [AvgStart2LoggedSub (2.33e+02)],Facebook23: [Issuer: AC CAMERFIRMA FOR WEBSITES - 2016 (6.81e-09)],Facebook23: [max string length of domains (6.98e+02)],Google23: [# of certs of the website (8.06e+02)],Google23: [Issuer: Actalis Organization Validated Server CA G1 (0.00e+00)],Google23: [MinFacebookPages (6.99e+02)],Google23: [# of certs of the website (1.60e+03)],Google23: [Issuer: Actalis Organization Validated Server CA G1 (9.04e-06)],Google23: [AvgFacebookPages (6.99e+02)],SSLMate23: [MaxEndSize (4.09e+03)],SSLMate23: [Issuer: Actalis Organization Validated Server CA G1 (0.00e+00)],SSLMate23: [AvgStartSize (6.99e+02)],SSLMate23: [Suffix: ca (4.87e+03)],SSLMate23: [Issuer: Actalis Organization Validated Server CA G1 (3.57e-04)],SSLMate23: [AvgReferenceSetSize (6.99e+02)]
Censys24: [mean string length of targets (1.21e+02)],Censys24: [Suffix: nz (0.00e+00)],Censys24: [AvgEndSize (6.97e+02)],Censys24: [# of matched targets in cert (1.64e+03)],Censys24: [Issuer: Actalis Authentication CA G3 (0.00e+00)],Censys24: [AvgEndSize (6.98e+02)],Entrust24: [MinLoggedSub2Expire (1.22e+03)],Entrust24: [Issuer: AC INFRASTRUCTURE 2 (2.43e-09)],Entrust24: [max string length of targets (6.96e+02)],Entrust24: [MinFacebookPages (1.90e+03)],Entrust24: [Issuer: Actalis Authentication CA G3 (6.06e-09)],Entrust24: [max string length of targets (6.98e+02)],Facebook24: [Suffix: edu (1.79e+01)],Facebook24: [Issuer: AC Administración Pública (0.00e+00)],Facebook24: [AvgEndSize (6.97e+02)],Facebook24: [Suffix: sk (2.10e+02)],Facebook24: [Issuer: AC Administración Pública (2.01e-09)],Facebook24: [Lifetime of the cert (6.97e+02)],Google24: [# of matched targets in cert (8.01e+02)],Google24: [Issuer: Actalis Authentication CA G3 (0.00e+00)],Google24: [Suffix: com (6.98e+02)],Google24: [AvgReferenceSetSize (1.55e+03)],Google24: [Issuer: Actalis Authentication CA G3 (6.90e-06)],Google24: [Lifetime of the cert (6.98e+02)],SSLMate24: [mean string length of targets (3.92e+03)],SSLMate24: [Suffix: orggg (0.00e+00)],SSLMate24: [min string length of targets (6.98e+02)],SSLMate24: [mean string length of domains (4.61e+03)],SSLMate24: [Issuer: Actalis Authentication CA G3 (3.13e-04)],SSLMate24: [mean string length of targets (6.98e+02)]
Censys25: [MinFacebookPages (1.11e+02)],Censys25: [Suffix: onca (0.00e+00)],Censys25: [max string length of targets (6.96e+02)],Censys25: [Suffix: gov (1.64e+03)],Censys25: [Issuer: ACCVCA-120 (0.00e+00)],Censys25: [# of matched targets in cert (6.97e+02)],Entrust25: [AvgStart2LoggedSub (1.21e+03)],Entrust25: [Issuer: AC Certisign Multipla G6 (9.92e-11)],Entrust25: [min string length of domains (6.95e+02)],Entrust25: [Suffix: edu (1.63e+03)],Entrust25: [Issuer: ACCVCA-120 (3.38e-09)],Entrust25: [mean string length of targets (6.97e+02)],Facebook25: [MinGrowth (1.72e+01)],"Facebook25: [Issuer: ""cPanel (0.00e+00)]",Facebook25: [MinStartSize (6.96e+02)],Facebook25: [Suffix: org (2.03e+02)],"Facebook25: [Issuer: ""cPanel (1.12e-09)]",Facebook25: [MinGrowth (6.96e+02)],Google25: [MinLoggedSub2Expire (6.83e+02)],Google25: [Issuer: ACCVCA-120 (0.00e+00)],Google25: [AvgEndSize (6.97e+02)],Google25: [AvgStart2LoggedSub (1.35e+03)],Google25: [Issuer: ACCVCA-120 (9.48e-08)],Google25: [MinStartSize (6.97e+02)],SSLMate25: [Suffix: fr (3.75e+03)],SSLMate25: [Suffix: orgco (0.00e+00)],SSLMate25: [Logged format: Pre (6.97e+02)],SSLMate25: [Lifetime of the cert (4.52e+03)],SSLMate25: [Issuer: ACCVCA-120 (1.23e-05)],SSLMate25: [mean string length of domains (6.97e+02)]
